xpos,ypos,velocity,yaw,,yaw,xpos,ypos
881,376,8,-40855,,-28567,3041,736
874,376,8,-40855,,-28567,3034,736
867,376,8,-40855,,-28567,3027,736
860,376,8,-40855,,-28567,3020,736
852,376,8,-40855,,-28567,3012,736
845,376,8,-40855,,-28567,3005,736
838,376,8,-40855,,-28567,2998,736
830,376,8,-40855,,-28567,2990,736
823,376,8,-40855,,-28567,2983,736
816,376,8,-40855,,-28567,2976,736
808,376,8,-40855,,-28567,2968,736
801,376,8,-40855,,-28567,2961,736
794,376,8,-40855,,-28567,2954,736
786,376,8,-40855,,-28567,2946,736
779,376,8,-40855,,-28567,2939,736
771,376,8,-40855,,-28567,2931,736
764,376,8,-40855,,-28567,2924,736
757,376,8,-40855,,-28567,2917,736
749,376,8,-40855,,-28567,2909,736
742,376,8,-40855,,-28567,2902,736
734,376,8,-40855,,-28567,2894,736
727,376,8,-40855,,-28567,2887,736
719,376,8,-40855,,-28567,2879,736
712,376,8,-40855,,-28567,2872,736
705,376,8,-40855,,-28567,2865,736
697,376,8,-40855,,-28567,2857,736
690,376,8,-40855,,-28567,2850,736
682,376,8,-40855,,-28567,2842,736
675,376,8,-40855,,-28567,2835,736
667,376,8,-40855,,-28567,2827,736
660,376,8,-40855,,-28567,2820,736
652,376,8,-40855,,-28567,2812,736
645,376,8,-40855,,-28567,2805,736
637,376,8,-40855,,-28567,2797,736
630,376,8,-40855,,-28567,2790,736
622,376,8,-40855,,-28567,2782,736
615,376,8,-40855,,-28567,2775,736
607,376,8,-40855,,-28567,2767,736
599,376,8,-40855,,-28567,2759,736
592,376,8,-40855,,-28567,2752,736
584,376,8,-40855,,-28567,2744,736
577,376,8,-40855,,-28567,2737,736
569,376,8,-40855,,-28567,2729,736
562,376,8,-40855,,-28567,2722,736
554,376,8,-40855,,-28567,2714,736
547,376,8,-40855,,-28567,2707,736
539,376,8,-40855,,-28567,2699,736
531,376,8,-40855,,-28567,2691,736
524,376,8,-40855,,-28567,2684,736
516,376,8,-40855,,-28567,2676,736
509,376,8,-40855,,-28567,2669,736
501,376,8,-40855,,-28567,2661,736
494,376,8,-40855,,-28567,2654,736
486,376,8,-40855,,-28567,2646,736
478,376,8,-40855,,-28567,2638,736
471,376,8,-40855,,-28567,2631,736
463,376,8,-40855,,-28567,2623,736
456,376,8,-40855,,-28567,2616,736
448,376,8,-40855,,-28567,2608,736
440,376,8,-40855,,-28567,2600,736
433,376,8,-40855,,-28567,2593,736
425,376,8,-40855,,-28567,2585,736
417,376,8,-40855,,-28567,2577,736
410,376,8,-40855,,-28567,2570,736
402,376,8,-40855,,-28567,2562,736
395,376,8,-40855,,-28567,2555,736
387,376,8,-40855,,-28567,2547,736
379,376,8,-40855,,-28567,2539,736
372,376,8,-40855,,-28567,2532,736
364,376,8,-40855,,-28567,2524,736
356,376,8,-40855,,-28567,2516,736
349,376,8,-40855,,-28567,2509,736
341,376,8,-40855,,-28567,2501,736
333,376,8,-40855,,-28567,2493,736
326,376,8,-40855,,-28567,2486,736
318,376,8,-40855,,-28567,2478,736
310,376,8,-40855,,-28567,2470,736
303,376,8,-40855,,-28567,2463,736
295,376,8,-40855,,-28567,2455,736
287,376,8,-40855,,-28567,2447,736
279,376,8,-40855,,-28567,2439,736
272,376,8,-40855,,-28567,2432,736
264,376,8,-40855,,-28567,2424,736
256,376,8,-40855,,-28567,2416,736
249,376,8,-40855,,-28567,2409,736
241,376,8,-40855,,-28567,2401,736
233,376,8,-40855,,-28567,2393,736
225,376,8,-40855,,-28567,2385,736
218,376,8,-40855,,-28567,2378,736
210,376,8,-40855,,-28567,2370,736
202,376,8,-40855,,-28567,2362,736
195,376,8,-40855,,-28567,2355,736
187,376,8,-40855,,-28567,2347,736
179,376,8,-40855,,-28567,2339,736
171,376,8,-40855,,-28567,2331,736
164,376,8,-40855,,-28567,2324,736
156,376,8,-40855,,-28567,2316,736
148,376,8,-40855,,-28567,2308,736
140,376,8,-40855,,-28567,2300,736
132,376,8,-40855,,-28567,2292,736
125,376,8,-40855,,-28567,2285,736
117,376,8,-40855,,-28567,2277,736
109,376,8,-40855,,-28567,2269,736
102,376,8,-40855,,-28567,2262,736
94,376,8,-40855,,-28567,2254,736
86,376,8,-40855,,-28567,2246,736
78,376,8,-40855,,-28567,2238,736
71,376,8,-40855,,-28567,2231,736
63,376,8,-40855,,-28567,2223,736
56,376,8,-40855,,-28567,2216,736
48,376,8,-40855,,-28567,2208,736
40,376,8,-40855,,-28567,2200,736
